gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol,entrez
ENSG00000175354.20,-1.8034613576674499,6.164463041617148,-9.709509202848013,1.5857656544289589e-15,2.43732181085731e-11,24.72079306283364,PTPN2,5771
ENSG00000165802.23,-4.817302633533336,5.033917610674868,-10.098547214057918,2.1281433259084094e-14,1.6354781459606127e-10,20.4899333869867,NSMF,26012
ENSG00000225697.13,-4.66128814069121,4.2416582173753845,-8.874205209010311,9.189514681935255e-14,4.708094688711495e-10,18.027800191925998,SLC26A6,65010
ENSG00000169692.14,-5.130859267545885,3.4112872197803608,-8.483759594964393,5.115441727718109e-13,1.9656084838756837e-9,14.922813913775073,AGPAT2,10555
ENSG00000241360.2,-2.5218187998002835,3.650335018587412,-7.062137870995243,3.813266337670339e-10,1.1721980721998623e-6,12.126203070143912,PDXP,57026
ENSG00000162377.6,-2.928964266331015,3.444441453656531,-6.952037331325876,6.303484945433597e-10,1.6147427268552398e-6,11.33968046537899,COA7,65260
ENSG00000084207.18,-0.8562515466982221,8.639317557558549,-6.427751183396842,6.702584158881339e-9,1.4716959788858028e-5,10.007226321185112,GSTP1,2950
ENSG00000285756.3,-1.6783900558296936,4.134091430996224,-5.892662532428953,7.034002899236694e-8,1.35140780701585e-4,7.818861512269734,LOC389906,389906
ENSG00000095321.18,-2.433862557238381,2.8782872513063436,-5.3853326851590975,6.071326978933635e-7,9.946074911226712e-4,5.277556714552441,CRAT,1384
ENSG00000091483.8,-0.9810548277117981,5.553292759885034,-5.370020923247342,6.471096233719396e-7,9.946074911226712e-4,5.798053586649726,FH,2271
ENSG00000143653.10,-1.7069729357457306,4.6463471160624135,-5.353945441712685,8.045606248715686e-7,0.0011241906185705463,5.606869578419708,SCCPDH,51097
ENSG00000144485.11,-3.475314673143227,2.1846348329288765,-5.125196177138695,1.773781575017839e-6,0.0022719185673353488,3.6088194548522976,HES6,55502
ENSG00000134897.14,-0.7914582586745942,6.541004969652416,-4.933684524813126,3.843141155022787e-6,0.004301177583872543,4.009189930769262,BIVM,54841
ENSG00000113441.16,-0.7983913820430937,7.226001404575639,-4.928873282130002,3.917793505153911e-6,0.004301177583872543,3.9282188015857233,LNPEP,4012
ENSG00000121410.12,-0.9947474939252938,5.487119078006161,-4.887227711843252,4.625873671388108e-6,0.0047399785552823485,3.9120959443888186,A1BG,1
ENSG00000126456.16,-1.1481003555785758,4.617527121344635,-4.855775226358528,5.241830924499242e-6,0.005035433831847085,3.868229655279885,IRF3,3661
ENSG00000137731.14,2.498030469215312,1.655180761240337,4.687962694894658,1.0141586348224235e-5,0.009169187186600381,2.6222196832542712,FXYD2,486
ENSG00000167543.16,-0.9639311043648506,5.506793877709095,-4.66160066112753,1.1237155380523882e-5,0.0095952821221473375,3.0812446345461826,TP53I13,90313
ENSG00000123612.16,-1.564601397164758,3.048908207101759,-4.438638274422991,2.6427510839304376e-5,0.02095979213437333,2.3463076977888386,ACVR1C,130399
ENSG00000168824.15,-2.346917060662969,2.5935370204288795,-4.430306421137394,2.7273639732431137e-5,0.02095979213437333,2.008172030547229,NSG1,27065
ENSG00000107643.17,-1.50597522771334,3.5175741324845866,-4.322883796672474,4.082509035954455e-5,0.029880078039342846,1.9753644440419746,MAPK8,5599
ENSG00000288756.3,-1.9996743741149592,2.089929584103591,-4.254470751603863,5.263006562450945e-5,0.035545358705800265,1.6123922619169173,NA,NA
ENSG00000104320.15,-0.9363684364998335,5.1490942261314085,-4.2516024483950074,5.3190842565608724e-5,0.035545358705800265,1.6692668541550413,NBN,4683
ENSG00000115523.17,0.9594955826826128,4.995843154480297,4.143450698093644,8.462585431953669e-5,0.051042915933641214,1.2072152285246665,GNLY,10578
ENSG00000176083.18,1.941127769928265,3.6413560464283847,4.294920219769507,8.829803352603546e-5,0.051042915933641214,1.3490271570269297,ZNF683,257101
ENSG00000064687.13,0.9724263209662087,4.2773371926156205,4.108918896779914,8.96505649702348e-5,0.051042915933641214,1.235091707923723,ABCA7,10347
ENSG00000176244.7,-1.4447326873521567,3.1527899871359195,-4.101374500809272,9.213310738276844e-5,0.051042915933641214,1.2625991487137327,ACBD7,414149
ENSG00000120913.24,0.7687653765298466,5.94075552674572,4.0988262714352715,9.298644412114209e-5,0.051042915933641214,1.0638254482265905,PDLIM2,64236
ENSG00000113916.18,-1.1061989487769575,4.060417520127871,-4.052978801263453,1.1293656082896101e-4,0.05978749915045033,1.0256719739071753,BCL6,604
ENSG00000167664.9,-1.8986446577718306,2.617131993267643,-4.035753398162945,1.1669648500413205e-4,0.05978749915045033,0.9397612708983889,TMIGD2,126259
ENSG00000171848.16,-0.7438781394981806,8.128664757024847,-4.080951055650948,1.391250909287687e-4,0.06897911766371533,0.5115630290936268,RRM2,6241
ENSG00000157303.11,-0.7552319867381643,5.784243946248272,-3.929970978529475,1.7000006838237361e-4,0.08165315784490883,0.500104825302353,SUSD3,203328
