gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol,entrez
ENSG00000127528.6,-2.029443499906419,8.275583308972125,-18.428361275048623,3.8728066902455736e-31,5.952503882907447e-27,60.48578178975671,KLF2,10365
ENSG00000137959.17,6.693524836553538,0.7900216022586116,17.83051747195264,8.793132548519701e-31,6.757522363537391e-27,55.31163970251284,IFI44L,10964
ENSG00000130303.14,1.661109395154611,6.82272632900334,17.493328759102667,3.14124016753681e-30,1.6093620458346922e-26,58.38735244315152,BST2,684
ENSG00000231389.8,1.8360363768083987,5.3424270082708905,15.693434282918144,4.191854092436481e-27,1.6107199350187178e-23,51.23746432355492,HLA-DPA1,3113
ENSG00000101224.18,-1.2834602309964849,8.644864615891118,-15.116536473703416,4.591514810897924e-26,1.411431652870022e-22,48.833272954594435,CDC25B,994
ENSG00000138758.12,1.4783176573879135,6.715281444681356,15.044552086870373,6.208055243560694e-26,1.5902968182254645e-22,48.55843440684232,SEPTIN11,55752
ENSG00000188042.8,-1.369643642661364,10.396121481737898,-15.102911752224005,3.858402728217856e-25,8.471949990386922e-22,46.7140370172921,ARL4C,10123
ENSG00000019582.17,1.6671753658133568,7.550905666896956,15.597367889119765,7.702254505658556e-25,1.4797956468996501e-21,46.14275821204144,CD74,972
ENSG00000165272.16,-1.6871490972146033,8.030434983030762,-14.961750269361431,2.6297380898026297e-24,4.491008271140713e-21,44.909012402215346,AQP3,360
ENSG00000069493.15,-1.0736053546997884,8.919869140594303,-14.066564601427336,3.987423744579381e-24,6.128670295418508e-21,44.37343995318797,CLEC2D,29121
ENSG00000115414.21,5.0642692393358555,0.7934450532205936,14.015473050479132,4.972173332439516e-24,6.947482192690488e-21,41.84250674005027,FN1,2335
ENSG00000089692.9,2.2595219082751257,4.486530511793384,14.656750199160145,6.261609321266639e-24,8.02007793898902e-21,44.037988320632195,LAG3,3902
ENSG00000168685.15,-1.2206494370914038,8.153243971491307,-13.557414522624818,3.6480146998653217e-23,4.313075841302308e-20,42.1839594592007,IL7R,3575
ENSG00000179144.5,-1.6526808164977407,8.807836502460495,-14.8153337602158,7.56884763450439e-23,8.309513438738034e-20,41.62140784704441,GIMAP7,168537
ENSG00000173114.13,-1.3377346488029822,8.448948148847043,-13.151070632777216,2.1823133608729433e-22,2.2361437571078093e-19,40.40848945347303,LRRN3,54674
ENSG00000143545.10,2.02840274867207,3.7678267825895064,13.077178153929362,3.027481526483235e-22,2.9082744413779576e-19,40.08602716933727,RAB13,5872
ENSG00000146376.11,1.6965100030771154,4.922804966562781,13.03794132783734,3.6031374371268016e-22,3.257660141684644e-19,39.99018779212524,ARHGAP18,93663
