gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol,entrez
ENSG00000256039.5,-1.5197501557106001,5.623463583876011,-10.962339099762799,4.51579107088553e-18,6.94077087595106e-14,29.831604946045264,LINC02446,101060038
ENSG00000250337.11,2.0971518129910116,1.4760509491086309,6.220108821379263,3.8805751935050616e-8,2.98222203620864e-4,7.560114261054891,PURPL,643401
ENSG00000145850.9,-1.8150547957560008,3.542902124217513,-5.896475648458875,6.975475654737771e-8,3.5737686937773177e-4,7.0085291085523,TIMD4,91937
ENSG00000026751.17,-0.74962199324208445,5.288624184386136,-5.699146472219859,1.6155205599496643e-7,5.488883979961686e-4,7.117734484529912,SLAMF7,57823
ENSG00000115738.10,-0.6077965902319793,8.187846175732858,-5.743480500762012,1.7855835979055582e-7,5.488883979961686e-4,6.941162624484768,ID2,3398
ENSG00000159445.13,-0.8115041477947824,4.64368536863048,-5.28632487816487,9.156603515239889e-7,0.002345616600487285,5.470655049776419,THEM4,117145
ENSG00000145649.8,-0.8144779798901585,9.709536876144593,-5.33669567811801,2.779018651246173e-6,0.006101930952807669,4.354700803263828,GZMA,3001
ENSG00000166900.17,-0.7063484452541058,5.311172222481623,-4.704875898390412,9.494111606740652e-6,0.017577295562632784,3.313824797442839,STX3,6809
ENSG00000135919.14,-0.9765600286993843,4.23517142557282,-4.684171629148521,1.0292495775126548e-5,0.017577295562632784,3.2124606281745685,SERPINE2,5270
ENSG00000139318.8,-0.6784867732555249,7.844442598165761,-4.733525486062952,1.8389587545495715e-5,0.028264796057426916,2.6124960898153873,DUSP6,1848
ENSG00000178199.14,0.8999258696678418,3.1093873771668417,4.248069721212469,5.3889437031993404e-5,0.07463871677737324,1.703339342643548,ZC3H12D,340152
ENSG00000207205.1,1.1355078864637922,2.085168931154916,4.216034340963525,6.064126181908109e-5,0.07463871677737324,1.546099546187258,RNVU1-15,101954267
ENSG00000164483.17,-0.5579682862081548,6.793180988213099,-4.272311258362508,6.312968888131764e-5,0.07463871677737324,1.44187838076952,SAMD3,154075
ENSG00000137731.14,-1.6068627183996187,1.655180761240337,-4.171571433771734,7.137578297327056e-5,0.07499972281869738,0.6911711873670301,FXYD2,486
