gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol,entrez
ENSG00000135870.13,-3.4008437458686793,4.881428220516097,-11.377455892833726,6.623858108259131e-19,1.0180869912394284e-14,1.4631236055142498,RC3H1,149041
ENSG00000287603.1,-1.2911767002857273,2.191234452561316,-3.4887154944338468,7.638567991234131e-4,0.9998330685721823,-3.843823409748386,NA,NA
ENSG00000293153.1,-2.1074049372738233,1.1401652913273315,-3.4839724332142157,7.758199510607819e-4,0.9998330685721823,-4.284463323252326,NA,NA
ENSG00000184986.12,1.1590449622997996,2.9697412153210094,3.3759037175381836,0.0011263860585805788,0.9998330685721823,-3.614652675485718,TMEM121,80757
ENSG00000149273.15,-0.3758206553574155,11.430644260407904,-3.323134300301839,0.0013104324497540758,0.9998330685721823,-1.5616208736852122,RPS3,6188
ENSG00000197943.13,1.3255450233716126,2.441607515143108,3.2814327170783386,0.0014874226672271465,0.9998330685721823,-4.061252985856167,PLCG2,5336
ENSG00000171928.14,-0.5558990713142666,5.580975601647439,-3.2501810724348763,0.0016408662753009825,0.9998330685721823,-2.6776751655230435,TVP23B,51030
ENSG00000197872.11,1.7883166309681309,0.7702704982176911,3.132440960648542,0.0023621744367647245,0.9998330685721823,-4.34465955942464,CYRIA,81553
ENSG00000223960.10,-0.6860940875343449,4.165498052840723,-3.1228152234144386,0.0024326466473710523,0.9998330685721823,-3.394135780978627,CHROMR,101927027
ENSG00000008130.15,1.3373312997516338,2.5013903929439114,3.098159626035237,0.002622182114257587,0.9998330685721823,-4.101436282529034,NADK,65220
ENSG00000256646.8,-8.763387309024061,1.099403062138354,-3.161977475783784,0.0027685994847591214,0.9998330685721823,-4.281758548838873,NA,NA
ENSG00000134504.14,-1.7133769348592782,0.8941811959275104,-3.06761303873924,0.00287604387027373,0.9998330685721823,-4.356153157695342,KCTD1,284252
ENSG00000288756.3,-1.3703174484210061,2.089929584103591,-3.029300435838173,0.003226704848998303,0.9998330685721823,-4.166044885215809,NA,NA
ENSG00000127318.11,2.3133116617534806,-0.06870096501793778,2.9697490987351327,0.003851166892702076,0.9998330685721823,-4.471076179961313,IL22,50616
ENSG00000237595.8,-2.936069446207841,-1.0046701663863624,-2.9621275418865713,0.003938695973543784,0.9998330685721823,-4.502372071894762,LINC01275,101927512
ENSG00000184414.2,2.284169748671564,0.2299735423167527,2.958257949559964,0.003983835992266923,0.9998330685721823,-4.460513906993076,NA,NA
ENSG00000055955.17,1.8154461979141023,1.0679793563590603,2.9426813059424695,0.004170417605967866,0.9998330685721823,-4.358363729831721,ITIH4,3700
ENSG00000275464.6,-0.8727784288477469,2.00698964926723,-2.936825013971646,0.004242628070268415,0.9998330685721823,-3.906270899547639,LOC102724159,102724159
ENSG00000280378.1,-2.298820135610552,-0.4015218940546985,-2.9147132230408532,0.004525799725427095,0.9998330685721823,-4.469151836453169,NA,NA
ENSG00000185905.4,0.5849408024422589,4.658590362507374,2.8991137427701794,0.004735941085919288,0.9998330685721823,-3.4118944554738198,C16orf54,283897
ENSG00000207501.1,-3.309787478076329,-1.634515750664705,-2.8983408025859485,0.004747105172187473,0.9998330685721823,-4.518938628900325,RNVU1-14,101954266
ENSG00000269473.1,-1.7705256870833979,1.2121934982199711,-2.8964215775522075,0.004773103747784918,0.9998330685721823,-4.37980280114121,NA,NA
ENSG00000113916.18,-0.7396545707154205,4.060417520127871,-2.8951815645734613,0.004835079579934577,0.9998330685721823,-3.5137014225888845,BCL6,604
ENSG00000106003.14,0.4468902595683719,6.36652022616336,2.8739531162601555,0.005093888511209134,0.9998330685721823,-2.9015446911811273,LFNG,3955
ENSG00000300077.1,-0.32886613707150225,10.017241903916082,-2.8652142732388253,0.0052239216867391945,0.9998330685721823,-2.532504078542777,NA,NA
ENSG00000269246.3,-0.8504906802113164,3.7436270093721578,-2.86735487359913,0.00529279286148136,0.9998330685721823,-3.710288804980853,NA,NA
ENSG00000222041.13,-0.3554603879645768,7.601177453822476,-2.857934845960055,0.0053345604121640584,0.9998330685721823,-2.7440962863367506,CYTOR,112597
ENSG00000255330.9,5.00863605128373,0.3368948395816374,2.924282300811419,0.005335719419552167,0.9998330685721823,-4.474925681211227,NA,NA
ENSG00000260260.4,-0.5459089123059568,5.281033853221329,-2.852613951314845,0.0054167891288315,0.9998330685721823,-3.267801248881571,SNHG19,100507303
ENSG00000293871.1,2.777466703787289,-0.5551908436502134,2.837995662852054,0.005648727566240389,0.9998330685721823,-4.497483637013807,NA,NA
ENSG00000277157.2,-1.8146090228070215,0.07951955962517683,-2.8330458320955634,0.0057293057416465945,0.9998330685721823,-4.4161945874246555,H4C4,8360
ENSG00000272843.2,2.7409802809086146,-0.5624377860629618,2.832911142870059,0.005731513008739822,0.9998330685721823,-4.5071073704156275,NA,NA
ENSG00000309428.1,0.95741871246272,2.8035181827174425,2.8263146411078135,0.0058405749685549666,0.9998330685721823,-4.0413614451554585,NA,NA
ENSG00000263655.2,-2.441211489024477,-0.3221331310387385,-2.8185481851815344,0.005971417821431095,0.9998330685721823,-4.494031074778976,NA,NA
ENSG00000235688.4,-2.277246084699306,0.8088111595052913,-2.811173992150946,0.0060981334149560655,0.9998330685721823,-4.457945577259539,NA,NA
ENSG00000162783.11,0.41806270408441293,8.642943431320699,2.805138772868815,0.006558913283878232,0.9998330685721823,-2.7554559669278604,IER5,51278
ENSG00000176142.13,-0.5949367377958428,4.630311787303539,-2.7818940432044723,0.006625953898536701,0.9998330685721823,-3.522706919027454,TMEM39A,55254
ENSG00000199879.1,-1.6655625337810893,-0.0016794046927722027,-2.7701140699874705,0.006849852749481768,0.9998330685721823,-4.396696963442887,RNVU1-22,106481627
ENSG00000146757.14,-0.5562617303084672,5.209992192004594,-2.7610818919205595,0.007030608853057812,0.9998330685721823,-3.3322139078749284,ZNF92,168374
ENSG00000109775.11,-0.4660112970285084,5.722176880210529,-2.735031194654172,0.00755824258873735,0.9998330685721823,-3.2143453271439446,UFSP2,55325
ENSG00000294697.1,-1.9774236328815393,0.32486810432311675,-2.723836243798126,0.007797976708981977,0.9998330685721823,-4.468820366072915,NA,NA
ENSG00000161016.18,-0.28095748972580026,9.952832550121137,-2.7157553654046525,0.007975309287743442,0.9998330685721823,-2.7900258934459488,RPL8,6132
ENSG00000285077.4,-1.7159487738946515,1.5557622313696235,-2.7148277213830054,0.008027419900910843,0.9998330685721823,-4.384573671677195,ARHGAP11B,89839
ENSG00000198876.13,0.42372447223692333,5.65634707198007,2.7077808323345076,0.008153901950934626,0.9998330685721823,-3.3260457174374065,DCAF12,25853
ENSG00000181350.12,-0.4346817826203626,8.688464593702486,-2.7353030972850734,0.008177776190742947,0.9998330685721823,-2.884651787297221,LRRC75A,388341
ENSG00000140988.16,-0.35676542446715764,10.249297983543043,-2.7189981227215774,0.00818235219455178,0.9998330685721823,-2.785115649476509,RPS2,6187
ENSG00000183479.13,1.5526475936614705,1.571609173180558,2.6978517295118394,0.00838135448028382,0.9998330685721823,-4.374920800773307,TREX2,11219
ENSG00000167371.21,2.1690801330019394,0.48999026695833553,2.687892207177068,0.008615289176621618,0.9998330685721823,-4.482032311883506,PRRT2,112476
ENSG00000043143.22,0.6760892822605351,4.129814677476214,2.673917006738958,0.00895356150718747,0.9998330685721823,-3.8035012832971535,JADE2,23338
ENSG00000215769.9,0.8368976942047017,3.1955965175383567,2.6715429127361188,0.00901221157449737,0.9998330685721823,-4.068741893508786,ARHGAP27P1-BPTFP1-KPNA2P3,109286553
ENSG00000276368.2,-2.1360561610369415,0.2712578710313154,-2.6754598666071274,0.009054917527911356,0.9998330685721823,-4.455657770538998,H2AC14,8331
ENSG00000222724.1,-1.0562640612052578,2.3221413754660394,-2.66642352442219,0.009139871179058979,0.9998330685721823,-4.155464297806099,RNU2-63P,106480225
ENSG00000153790.12,1.4042286687303178,1.6019961335779602,2.6578651999261833,0.009356957286432278,0.9998330685721823,-4.363800207148714,SPMIP4,136895
ENSG00000149489.9,-1.477021117051096,1.5048801292280485,-2.6505873072660435,0.00954523475600392,0.9998330685721823,-4.401533682159132,ROM1,6094
ENSG00000288018.4,2.0034478796213033,0.21429775176172702,2.6458135562164142,0.00967059008874928,0.9998330685721823,-4.4825425000840085,LOC101929174,101929174
ENSG00000134508.13,-1.216911198667788,2.109708528649353,-2.6472948878212885,0.009685505547977275,0.9998330685721823,-4.2384355450047,CABLES1,91768
ENSG00000184731.6,-1.6636829613570572,0.7565965474954784,-2.644109887967801,0.009715687428205293,0.9998330685721823,-4.431311547151648,FAM110C,642273
ENSG00000197142.11,-0.6388654702890646,3.9037521692221193,-2.6419226769659274,0.009773864017088187,0.9998330685721823,-3.8997941266672083,ACSL5,51703
ENSG00000162236.13,-0.8805656230875396,2.4394230725000328,-2.6385175413128,0.00986506435603701,0.9998330685721823,-4.210374269158069,STX5,6811
ENSG00000288948.1,-2.3951518462000543,0.1828330088697247,-2.633705433898165,0.010000547489527592,0.9998330685721823,-4.498210008489059,NA,NA
ENSG00000112306.8,-0.2888816743370253,13.021444100921688,-2.637062877761317,0.010124339873518224,0.9998330685721823,-2.8001355234450895,RPS12,6206
ENSG00000289267.2,-2.2476899356650746,-1.2426182288031438,-2.6257195526130648,0.010214772835668464,0.9998330685721823,-4.520774948041589,NA,NA
ENSG00000277602.1,-1.9625479854689174,1.2081368357864435,-2.6543304053179853,0.01022436859559404,0.9998330685721823,-4.3928536921250885,NA,NA
ENSG00000277383.3,2.1200668194874672,-0.39911328172267857,2.611250019757415,0.010623649299676213,0.9998330685721823,-4.505431655303288,NA,NA
ENSG00000154134.15,1.0886485343636645,2.4434434460202032,2.6109896676032593,0.010631139997378216,0.9998330685721823,-4.21714445403682,ROBO3,64221
ENSG00000249244.1,-1.6586878758722416,0.8156457663970028,-2.6038037049716407,0.010839785330024014,0.9998330685721823,-4.458818901040789,NA,NA
ENSG00000275491.2,-1.673065032401346,-0.2193188899294773,-2.586456333683671,0.011358807631513096,0.9998330685721823,-4.472063379557144,LINC01730,101929125
ENSG00000245534.8,2.4116173293059107,-0.42179923901019944,2.5824864516867914,0.01148069576401911,0.9998330685721823,-4.52858613187723,RORA-AS1,101928784
ENSG00000166441.13,-0.28996446927437347,13.058899161914951,-2.593095260751225,0.011525819934980887,0.9998330685721823,-2.880397977529212,RPL27A,6157
ENSG00000085365.18,-0.4436437805448259,5.359687448427255,-2.575706892787915,0.011691582811913175,0.9998330685721823,-3.5179044298673428,SCAMP1,9522
ENSG00000268350.8,3.214802051643879,4.309323825586716,2.6234355668071796,0.011758794819229501,0.9998330685721823,-4.033232719044912,FAM156A,29057
ENSG00000287362.2,2.24003303401305,-0.35137262981446854,2.5675386675582885,0.011950305452399841,0.9998330685721823,-4.521517910127319,NA,NA
ENSG00000287234.1,-2.735000738357792,-1.2173509791582717,-2.5567528568602573,0.01229984622460234,0.9998330685721823,-4.532531855162255,NA,NA
ENSG00000189369.9,0.7355417112785294,3.123128841668966,2.556015198876126,0.012324085168839979,0.9998330685721823,-4.093379499732504,GSPT2,23708
ENSG00000272870.5,-0.8994180216380627,4.202086865101688,-2.582342104169661,0.012734246139659866,0.9998330685721823,-3.831749291244198,SAP30-DT,105377540
ENSG00000087008.16,-0.7394814565069985,3.187483935524876,-2.542797911503802,0.012765753359897086,0.9998330685721823,-4.086783843545212,ACOX3,8310
ENSG00000143365.20,1.4961840492735934,1.0604608267941535,2.533189914962549,0.01309570399309845,0.9998330685721823,-4.416136145970099,RORC,6097
ENSG00000198590.12,-1.8568510218594585,0.2111789330752365,-2.5249514422901034,0.013384711617298024,0.9998330685721823,-4.49368703301641,APRG1,339883
ENSG00000141854.10,2.0744042878216518,-0.3522300279553506,2.5194011686815356,0.013582636445110801,0.9998330685721823,-4.510805461148283,MISP3,113230
