gene_id,gene_symbol,logFC_CRISPRoff,padj_CRISPRoff,logFC_KO,padj_KO,significant
ENSG00000089692.9,LAG3,3.3133046535963633,4.5686656462566746e-12,1.4751353579668398,0.28922471260912025,CRISPRoff only
ENSG00000019582.17,CD74,2.102636773789639,1.4189989413688944e-11,0.9151036780196432,9.854716087169e-5,Both
ENSG00000120885.22,CLU,3.7612882263085687,1.4650418686833574e-11,2.6957711664324906,0.00189471339476528,Both
ENSG00000231389.8,HLA-DPA1,2.629106673469401,1.4650418686833574e-11,0.9097190370563684,0.001488918871272,Both
ENSG00000179833.4,SERTAD2,1.8754308307685497,1.4650418686833574e-11,1.212546187781754,3.200170842122341e-4,Both
ENSG00000129521.15,EGLN3,-3.532114121520144,2.1656822941345173e-11,-0.5975643315289066,0.5270978598756593,CRISPRoff only
ENSG00000134243.12,SORT1,2.0547173109138783,2.243510870966117e-11,2.24733919032796,0.06759551594683526,CRISPRoff only
ENSG00000137265.16,IRF4,1.945362614987203,2.8643658916557768e-11,0.243347813106552,0.35200615692111453,CRISPRoff only
ENSG00000125810.11,CD93,2.887273337913149,6.039545516262543e-11,2.377740932005931,0.01567654869803404,Both
ENSG00000150093.20,ITGB1,2.2686257989323124,6.53055030909809e-11,-0.06640132003846977,0.8148533465342535,CRISPRoff only
ENSG00000026508.21,CD44,-1.6688387035488463,7.80212333476354e-11,-0.47065035694761737,0.00695141870290799,Both
ENSG00000093072.19,ADA2,1.5848196922623927,3.5065720224579737e-10,0.8851542653901419,0.00339713298068406,Both
ENSG00000119655.11,NPC2,1.9836384980405075,3.8719461734983645e-10,0.16259304904020397,0.6911612146342175,CRISPRoff only
ENSG00000008516.19,MMP25,-1.8733044000593309,3.8846776236611375e-10,0.0473827142976596,0.963144799195483,CRISPRoff only
ENSG00000070081.18,NUCB2,1.9335965938991968,3.8846776236611375e-10,1.1943886028991273,2.0422377617922268e-5,Both
ENSG00000104419.17,NDRG1,1.4160726825540575,6.225292005546339e-10,1.322932374438308,0.03213251839660264,Both
ENSG00000181104.7,F2R,1.8454796756982852,6.334499137989546e-10,0.8357358383946071,0.0986439035389494,CRISPRoff only
ENSG00000135048.14,CEMIP2,1.7953043537892424,6.928108436159738e-10,-0.28947092694225623,0.34087048768229616,CRISPRoff only
ENSG00000000971.17,CFH,2.428613743491435,6.928108436159738e-10,1.6793743416638738,0.01543228000227597,Both
ENSG00000115738.10,ID2,-1.9701394702595,6.928108436159738e-10,-1.5663954308622543,1.0637445773760984e-6,Both
ENSG00000163297.18,ANTXR2,1.755130799715365,6.928108436159738e-10,0.45103622630002377,0.07413178021640249,CRISPRoff only
ENSG00000102241.12,HTATSF1,-1.7793994147279304,7.04243982213174e-10,0.0372249631309961,0.9003287448400462,CRISPRoff only
ENSG00000085063.18,CD59,1.6127084348172271,8.05347388072428e-10,0.5036674219702552,0.02296534912573156,Both
ENSG00000137193.14,PIM1,-1.452258780429365,8.389444904710916e-10,-0.5745883581145129,0.01567654869803404,Both
ENSG00000102245.9,CD40LG,-2.454325513191999,8.613609452693662e-10,-0.9504537446939236,0.00136472263654545,Both
ENSG00000154165.5,GPR15,-2.3032574784480593,9.657332856484116e-10,-1.5073928492200968,3.200170842122341e-4,Both
ENSG00000181804.15,SLC9A9,2.3136928395841205,1.2291565535239874e-9,0.9406685432694516,0.024924517271804,Both
ENSG00000120875.9,DUSP4,-2.1122175835975052,1.4406717128263208e-9,-1.116570533022504,0.01419599139633828,Both
ENSG00000205268.11,PDE7A,-1.3516846443447177,1.4701579294335396e-9,-0.689723683842873,0.00588060620874002,Both
ENSG00000223865.12,HLA-DPB1,2.2125285326857993,1.978764223292399e-9,1.1876082834989503,0.00201067884777006,Both
ENSG00000108679.13,LGALS3BP,1.7858039419850926,1.978764223292399e-9,0.8917793614262693,0.16045343261086722,CRISPRoff only
ENSG00000008517.19,IL32,-1.4196623343573016,2.503553342716088e-9,-0.7671073737506694,5.461474074774438e-4,Both
ENSG00000138760.11,SCARB2,2.420257395259004,2.564103523605778e-9,2.0318587543643227,3.7618805136208034e-4,Both
ENSG00000183508.5,TENT5C,1.5592652596219956,2.8309080649607975e-9,0.6467064007221955,0.04283261235875536,Both
ENSG00000134460.19,IL2RA,1.7353437486241283,3.3505017311569643e-9,0.42922938321860854,0.03419353222379222,Both
ENSG00000119139.21,TJP2,2.4434855622829597,3.3698645755644875e-9,1.080696682417353,0.00306491719341591,Both
ENSG00000133106.15,EPSTI1,2.7128042162462767,3.4953023656830318e-9,1.1424333507981483,6.216010915091048e-5,Both
ENSG00000114737.16,CISH,-1.4540858518551707,4.3921609232753244e-9,-0.8345533162029638,0.00467534599154211,Both
ENSG00000164442.11,CITED2,1.7373414035059214,4.676605525295425e-9,-0.05046544580360946,0.9225111663889402,CRISPRoff only
ENSG00000136161.13,RCBTB2,-1.9049178093005543,4.676605525295425e-9,0.6482652586133547,0.08459503262292774,CRISPRoff only
ENSG00000072736.19,NFATC3,-1.3767789324647706,4.676605525295425e-9,-1.159888411164554,2.988182743746812e-5,Both
ENSG00000184634.17,MED12,-5.064100523006505,4.676605525295425e-9,-0.7771131382205029,0.43297100564850344,CRISPRoff only
ENSG00000133574.10,GIMAP4,-1.7015605009539043,5.157305773295668e-9,-1.1792267461215895,9.150140360724148e-6,Both
ENSG00000139737.23,SLAIN1,1.589291340236247,5.273005852685605e-9,0.7664628558337298,0.04446486937764857,Both
ENSG00000124126.14,PREX1,-1.3999708695864814,5.273005852685605e-9,-0.4736564917597352,0.03690294236314458,Both
ENSG00000118513.21,MYB,2.8507449814621566,5.81273288085624e-9,0.18038251384987827,0.6544087197857541,CRISPRoff only
ENSG00000146376.11,ARHGAP18,1.829525513830186,7.167947808217811e-9,1.4550618984762995,2.486054951302187e-4,Both
ENSG00000170854.18,RIOX2,1.5343613192743246,7.167947808217811e-9,0.23575839703925192,0.4888562579231632,CRISPRoff only
ENSG00000164171.11,ITGA2,2.3813533651320253,7.681813996207876e-9,0.9044641733567158,0.08381289156307428,CRISPRoff only
ENSG00000116679.17,IVNS1ABP,-1.3501844486991,8.364333607718798e-9,0.0305247382705978,0.9300954009252164,CRISPRoff only
ENSG00000091436.17,MAP3K20,1.4320069846658845,8.364333607718798e-9,1.750446472273078,1.6789322252670882e-4,Both
ENSG00000136960.13,ENPP2,6.389386200639406,8.364333607718798e-9,2.474153314899288,0.03720054873334905,Both
ENSG00000115159.17,GPD2,1.7529266377413546,9.920074657413406e-9,1.0941306704947442,0.00280866114203265,Both
ENSG00000010610.10,CD4,2.2832431843398027,9.920074657413406e-9,-0.00141633735019904,0.99766027424417,CRISPRoff only
ENSG00000173218.15,VANGL1,1.7746375649743344,1.0885568882656736e-8,0.04101895969369965,0.95459669498586,CRISPRoff only
ENSG00000196141.14,SPATS2L,1.998729228780502,1.0885568882656736e-8,1.1444984281150583,0.00110828914789002,Both
ENSG00000049239.13,H6PD,1.56661782113411,1.1653945356172688e-8,0.4558125210986012,0.20250575993026596,CRISPRoff only
ENSG00000136636.13,KCTD3,3.01300107268567,1.2926724851679552e-8,1.628533027987368,4.660543474411961e-4,Both
ENSG00000156535.15,CD109,1.557874826013255,1.549447754187825e-8,1.4985267341955144,5.848752553072356e-4,Both
ENSG00000164398.15,ACSL6,-3.5701515255927547,2.0966496872622673e-8,-0.5677442348660816,0.13396168384798027,CRISPRoff only
ENSG00000145730.21,PAM,1.8790350572880492,2.450960532531865e-8,0.5676561282384825,0.285489795884663,CRISPRoff only
ENSG00000198879.13,SFMBT2,-1.9026045436969723,2.4985012013267992e-8,0.10734074089378404,0.871836323099469,CRISPRoff only
ENSG00000102265.12,TIMP1,1.4882654331335752,2.9886883417551496e-8,0.9493533284748388,0.15796774080959386,CRISPRoff only
ENSG00000204287.14,HLA-DRA,2.729093212125645,3.377823474641997e-8,1.2644759812334545,4.7143287016302795e-6,Both
ENSG00000185201.18,IFITM2,-1.491111880820538,3.4251111866957424e-8,-0.46635046478123177,0.09563054017194808,CRISPRoff only
ENSG00000106868.17,SUSD1,1.148627840937405,3.4840482163347565e-8,-0.02167547632889529,0.9793633944296796,CRISPRoff only
ENSG00000185885.17,IFITM1,-1.5763082816132723,3.4864216887528464e-8,-0.12068374293833264,0.9288223295251417,CRISPRoff only
ENSG00000198945.8,L3MBTL3,2.0103773055582987,3.744560769626992e-8,0.23060949761508381,0.6174374376081339,CRISPRoff only
ENSG00000109861.17,CTSC,0.9530844586380948,3.774242626417594e-8,0.6279975697942829,0.0192126633115644,Both
ENSG00000128829.12,EIF2AK4,1.3710228485205749,3.774242626417594e-8,0.6732581754887488,0.0447615346014736,Both
ENSG00000173762.9,CD7,1.349180042424264,3.774242626417594e-8,0.7965301655989137,0.1770026996721638,CRISPRoff only
ENSG00000205730.7,ITPRIPL2,1.8654909055123443,3.810138898248321e-8,1.3652493704680673,2.7547337225903888e-5,Both
ENSG00000171840.13,NINJ2,2.342026394816654,3.9674521633166464e-8,0.92012753446779,0.14626438719186555,CRISPRoff only
ENSG00000133104.14,SPART,2.088363885423288,4.3527752630751625e-8,0.7676941146563886,0.00690359223830344,Both
ENSG00000188404.10,SELL,1.2623166133448596,4.782083041285221e-8,-0.4115680434913438,0.10438581059798852,CRISPRoff only
ENSG00000102780.17,DGKH,2.0275812584576087,5.019623653319224e-8,0.8381683890193893,0.00254504499363557,Both
ENSG00000183780.13,SLC35F3,2.8257558473238227,5.1823542784211175e-8,1.4685008079637123,0.01070126534096416,Both
ENSG00000179218.15,CALR,0.7668605085171881,5.3856709852068975e-8,-0.00575353310992769,0.9873962123991218,CRISPRoff only
ENSG00000172057.10,ORMDL3,1.1164707279715886,5.7429214258976273e-8,-0.01447231463473405,0.9764761855600576,CRISPRoff only
ENSG00000116701.16,NCF2,2.58361739858751,5.7429214258976273e-8,-0.5806776422356321,0.12012329839241492,CRISPRoff only
ENSG00000204257.15,HLA-DMA,1.4855193689121993,5.8463807088683444e-8,0.39162957844383056,0.6954878277797759,CRISPRoff only
ENSG00000122224.19,LY9,2.1758012257920303,6.51017372748592e-8,0.22091345427727427,0.6535135346645046,CRISPRoff only
ENSG00000206503.15,HLA-A,1.1521307721511234,6.51017372748592e-8,0.1499727080447952,0.6416766788061226,CRISPRoff only
ENSG00000079385.23,CEACAM1,1.9596203305106217,6.51017372748592e-8,1.1561362431976905,0.061611075654219,CRISPRoff only
ENSG00000118985.16,ELL2,1.8054852819605955,6.608888815787623e-8,0.8228926493314098,0.00421275750366304,Both
ENSG00000179144.5,GIMAP7,-1.7380538866989743,6.660078251518283e-8,-1.79143062455379,7.935600867892425e-8,Both
ENSG00000159335.19,PTMS,1.3650715965476792,6.691381577625293e-8,1.296841883312758,0.00955979877774226,Both
ENSG00000288771.3,NA,4.287968923692568,6.85020829312105e-8,1.468430960554745,0.15630086528935408,CRISPRoff only
ENSG00000131873.7,CHSY1,1.176992675900941,7.239102459365839e-8,0.43989077689998457,0.21405591382051467,CRISPRoff only
ENSG00000111537.5,IFNG,3.096336353595504,7.934022753586013e-8,0.681060042091802,0.27837225570504237,CRISPRoff only
ENSG00000180875.5,GREM2,9.711321466968274,8.007295897818844e-8,1.689856296441819,0.07966536910144864,CRISPRoff only
ENSG00000152784.16,PRDM8,2.3863729038716373,8.626965043382893e-8,1.3127806697977753,0.0011107043672872,Both
ENSG00000114455.15,HHLA2,6.860665109638187,8.626965043382893e-8,3.0307301555908244,0.00597764625442351,Both
ENSG00000109906.15,ZBTB16,-4.377841700486852,8.786501565784058e-8,-1.5360669036436334,0.01902487293763029,Both
ENSG00000169554.23,ZEB2,2.4319954576179983,9.078203528906764e-8,0.3700367806477996,0.5184798132871198,CRISPRoff only
ENSG00000105383.15,CD33,1.6740660540248644,9.66192696225181e-8,2.2443111566898826,0.03972550961653914,Both
ENSG00000143641.10,GALNT2,1.3650304086706544,1.026600609968105e-7,0.5925913462688598,0.1295252227695449,CRISPRoff only
ENSG00000197442.11,MAP3K5,1.5114759570895109,1.0797745883131033e-7,-0.05475556559998187,0.8820727471025427,CRISPRoff only
ENSG00000119411.11,BSPRY,2.4601615818326628,1.1151382372537416e-7,2.102911413238546,0.00219398884875505,Both
ENSG00000157191.20,NECAP2,1.0426826176051751,1.1570844924823165e-7,0.03454866818626943,0.937868477863523,CRISPRoff only
ENSG00000197892.13,KIF13B,1.5515317416387966,1.2872153631886377e-7,1.151556301673302,0.00182422435353394,Both
ENSG00000173848.19,NET1,1.3827774027441209,1.3203121841747744e-7,0.25605026410215553,0.4160033878902587,CRISPRoff only
ENSG00000143653.10,SCCPDH,1.467878215139462,1.423289020268425e-7,0.5112402555161469,0.32427442230487347,CRISPRoff only
ENSG00000170006.13,TMEM154,1.296320792840966,1.426738200474668e-7,0.22465760352591096,0.43111593853451285,CRISPRoff only
ENSG00000196914.9,ARHGEF12,-1.9424592116794073,1.4575331480709412e-7,-0.4679264259568837,0.2838908916242182,CRISPRoff only
ENSG00000127528.6,KLF2,-1.6554786246549194,1.4575331480709412e-7,-2.7793944583468013,9.963836201624051e-9,Both
ENSG00000138758.12,SEPTIN11,0.9130576146421944,1.6076797517857134e-7,1.2674216771415074,0.00136472263654545,Both
ENSG00000079819.20,EPB41L2,2.4038253561212835,1.6247051086278818e-7,0.46048286935940735,0.1580161942342458,CRISPRoff only
ENSG00000085871.9,MGST2,2.6131694902147276,1.6247051086278818e-7,0.758733109175184,0.03074526248850323,Both
ENSG00000234745.14,HLA-B,0.8941306447606883,1.6386768548306698e-7,0.13509269399234544,0.3493376247867452,CRISPRoff only
ENSG00000127951.8,FGL2,2.0302294205060205,1.7050090214547758e-7,1.0719809457291258,0.07295074837014175,CRISPRoff only
ENSG00000178202.14,POGLUT3,1.0793305634555443,1.974901336451747e-7,0.7961208812466559,0.12121200142348258,CRISPRoff only
ENSG00000100784.12,RPS6KA5,-1.1818368817953555,1.9929658862034658e-7,-0.43507883725996954,0.05068573913805063,CRISPRoff only
ENSG00000080546.14,SESN1,-1.8559913113910311,2.055872275149162e-7,-0.18784268021001663,0.624414949778617,CRISPRoff only
ENSG00000103811.18,CTSH,1.480668122014961,2.2665741565568057e-7,-0.0923836499924857,0.8460515537893936,CRISPRoff only
ENSG00000178562.19,CD28,2.0568176862454632,2.4598184856056473e-7,-0.7134258605355684,0.00184553152172757,Both
ENSG00000170365.10,SMAD1,8.843906949841504,2.534668765182438e-7,3.306107182614705,0.00695141870290799,Both
ENSG00000233093.9,LINC00892,-1.9889190353882529,2.5396047494797906e-7,-0.05991977188583296,0.9415649245191744,CRISPRoff only
ENSG00000235576.4,NA,-1.7201499964302036,2.5463493593087656e-7,-1.7147436429903369,0.00146710148354574,Both
ENSG00000171115.4,GIMAP8,-1.433037693396745,2.750401606448962e-7,-0.9430222787662844,0.00194777205969037,Both
ENSG00000153815.18,CMIP,-1.2231911240764868,2.8523141861070697e-7,-0.02601415161976717,0.9415649245191744,CRISPRoff only
ENSG00000145287.12,PLAC8,-2.0005742976364314,2.881273121978506e-7,-0.02575330355271106,0.9435348654307468,CRISPRoff only
ENSG00000129116.20,PALLD,3.2900762534646413,2.931013672034569e-7,2.1027766069706617,1.0703848352125196e-4,Both
ENSG00000105372.8,RPS19,-0.9929992956904375,3.0099861128363385e-7,-0.46568790673007154,0.00368355659104174,Both
ENSG00000100266.19,PACSIN2,1.2918033439799326,3.0295931016229754e-7,0.4758091321337978,0.33045688990857197,CRISPRoff only
ENSG00000113088.6,GZMK,-3.273870696081347,3.0936014337062154e-7,-0.9533530533089286,0.05163154048825254,CRISPRoff only
ENSG00000110324.12,IL10RA,-1.2569163844113111,3.125218330595331e-7,-1.1193185667575354,6.415168865590349e-5,Both
ENSG00000017427.17,IGF1,1.65243216702409,3.265192714216421e-7,4.005153337513599,0.00112722620699854,Both
ENSG00000111885.7,MAN1A1,1.389920606934808,3.265192714216421e-7,-0.13294276482113063,0.7482706747970348,CRISPRoff only
ENSG00000138448.13,ITGAV,1.9216320457924532,3.265192714216421e-7,0.5675778127856155,0.24417150022909967,CRISPRoff only
ENSG00000140403.13,DNAJA4,4.537180552387402,3.323144473957857e-7,-0.354704968994494,0.44745435766607006,CRISPRoff only
ENSG00000168461.13,RAB31,4.814335744376322,3.323144473957857e-7,-0.3588471191274221,0.6719714305495154,CRISPRoff only
ENSG00000087589.17,CASS4,-3.603389543437134,3.475320449063968e-7,0.4537183653055583,0.6216109194655465,CRISPRoff only
ENSG00000143344.16,RGL1,2.445002471411595,3.961254507685457e-7,1.5285329766108546,0.02626338350406379,Both
ENSG00000216490.4,IFI30,1.8668127175553844,4.360999100904332e-7,0.7797538560161346,0.3020693279401617,CRISPRoff only
ENSG00000164056.11,SPRY1,1.4374639978877146,4.643830972465107e-7,2.1524620959801175,0.02824828550365021,Both
ENSG00000162645.13,GBP2,0.9038898153281452,4.7159946737725427e-07,-0.00639809291909093,0.9790871985142412,CRISPRoff only
ENSG00000159733.14,ZFYVE28,1.8791773920801411,4.945927437658276e-7,0.2112503048295269,0.6560392679424905,CRISPRoff only
ENSG00000136997.22,MYC,-2.916373962712167,5.079891053593465e-7,-2.845617823833056,3.1953452264621326e-5,Both
ENSG00000070190.13,DAPP1,1.2714801179687796,5.079891053593465e-7,0.823434801523289,8.114710430797408e-4,Both
ENSG00000073331.18,ALPK1,2.525870631702691,5.139123740000962e-7,1.1631204069806844,0.00244067407041544,Both
ENSG00000067208.17,EVI5,4.2425479767667404,5.285633886532713e-7,1.6217566467917002,0.00301219427017862,Both
ENSG00000184182.19,UBE2F,-1.58183654374434,5.285633886532713e-7,-0.7873934066331236,0.00875527306466449,Both
ENSG00000211751.9,TRBC1,-1.2770207780845848,5.285633886532713e-7,-1.7918108113702491,2.8417755897539405e-6,Both
ENSG00000165929.13,TC2N,-1.0168715072089136,5.373689394187258e-7,-0.4848011084465681,0.00879339933181405,Both
ENSG00000213614.11,HEXA,0.9588531568943874,5.376804212307327e-7,0.15124741995336513,0.7187834609486846,CRISPRoff only
ENSG00000179583.21,CIITA,1.942372436411404,6.137132810995153e-7,0.6233957306313092,0.2175493359550318,CRISPRoff only
ENSG00000196083.11,IL1RAP,1.398986120803265,6.173358283153557e-7,0.533906497658839,0.4340495261273369,CRISPRoff only
ENSG00000137752.25,CASP1,1.2948379389117026,6.332288720744486e-7,0.5780277116496271,0.05958634013808322,CRISPRoff only
ENSG00000157654.19,PALM2AKAP2,1.3110720781877647,6.524097839569876e-7,0.3898937791260787,0.0312002685752089,Both
ENSG00000101224.18,CDC25B,-0.8942754709263908,6.76463860964956e-7,-1.7707816171608772,5.231609729688961e-7,Both
ENSG00000074706.14,IPCEF1,1.223811627993418,6.862537261849121e-7,0.5107732537433246,0.02017853801812746,Both
ENSG00000075420.13,FNDC3B,1.25857299222081,6.898667504966247e-7,1.1854088081086491,0.02396540823845111,Both
ENSG00000151914.22,DST,4.401494638554547,7.397345652835356e-7,1.2928966813339515,0.02391075389874335,Both
ENSG00000103257.10,SLC7A5,-1.112370556444937,7.401883613812697e-7,-0.08294023051359249,0.9145412339616932,CRISPRoff only
ENSG00000143162.9,CREG1,2.5676166464312677,7.477129359240634e-7,1.2435073246647632,0.08041911024044886,CRISPRoff only
ENSG00000166326.7,TRIM44,0.9981576883907334,7.601218128921611e-7,0.2847111551592864,0.20407617208712775,CRISPRoff only
ENSG00000120549.19,KIAA1217,8.35280553914128,8.02366038071634e-7,2.6490721264369808,0.0150767283824275,Both
ENSG00000114013.16,CD86,2.6877904092361917,8.07032622511765e-7,0.18029404555254752,0.8428506427588851,CRISPRoff only
ENSG00000121039.10,RDH10,2.1461308031019857,8.49584638286064e-7,-0.6884751537356477,0.12012329839241492,CRISPRoff only
