gene_id,gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000127528.6,KLF2,-2.7793944583468013,7.064675069422507,-19.04432054175535,9.740772511119416e-13,9.963836201624051e-9,19.279114618006606
ENSG00000168685.15,IL7R,-2.1574253227727658,9.309440885191263,-19.01351994983782,2.119095116016025e-12,1.083811197086396e-8,18.78614627153294
ENSG00000179144.5,GIMAP7,-1.7914306245537899,8.31071384954758,-15.581303692704832,2.3273831854215734e-11,7.935600867892424e-8,16.382793327568997
ENSG00000169442.9,CD52,-1.4846234650289447,9.321567372129433,-14.481769865482981,7.273508567576736e-11,1.860017978443561e-7,15.226006369081178
ENSG00000278189.1,RNA5-8SN1,8.886884332736095,2.2915521527884692,13.35077570572814,2.545251205365959e-10,4.6674640223083865e-7,8.27146889643987
ENSG00000137959.17,IFI44L,3.344437257094727,5.200164212292765,13.16955037378042,3.136827921160599e-10,4.6674640223083865e-7,13.26307807264849
ENSG00000277734.8,TRAC,-1.2705252533282823,9.756633457820982,-13.153962787020104,3.1940803750277357e-10,4.6674640223083865e-7,13.70862980726281
ENSG00000167106.12,EEIG1,-1.5345810335598244,8.40979433405417,-13.050255374514927,4.1924794908392905e-10,4.963605176446685e-7,13.500199722334724
ENSG00000173114.13,LRRN3,-1.5272276338532909,8.139870643488432,-12.886783921450363,4.367234977810163e-10,4.963605176446685e-7,13.456811604244328
ENSG00000101224.18,CDC25B,-1.7707816171608772,7.118553926841539,-12.753605687502859,5.114487955507832e-10,5.231609729688961e-7,13.322415735836255
ENSG00000068831.19,RASGRP2,-2.2946151577513527,5.693742460893391,-12.268528103680984,9.198864594812854e-10,8.554107812758245e-7,12.647979992096177
ENSG00000255072.2,PIGY,-8.104603462609326,1.8185096243051038,-12.115693858655955,1.11111284524284e-9,9.471311078324175e-7,7.6502975710800785
ENSG00000115738.10,ID2,-1.5663954308622545,7.2965572403370675,-11.95859378674857,1.351909229239347e-9,1.0637445773760984e-6,12.351897765731563
ENSG00000104765.16,BNIP3L,1.4045421111742964,7.857968081985891,11.789412154180228,1.673785129494812e-9,1.2229391492573165e-6,12.115148788794375
ENSG00000292343.1,AKAP17A,-7.8715216209426835,1.7017158964169183,-11.7048158691263,1.8641393203971853e-9,1.271218740556187e-6,7.4184772265821115
ENSG00000162433.15,AK4,1.7036639817977288,6.615329911443461,11.509609140290335,2.395823057664645e-9,1.5316796285532284e-6,11.79748531580687
ENSG00000115232.14,ITGA4,-1.1753428229395897,8.672549063238582,-11.259462325418289,3.3208906734892534e-9,1.9981994528895044e-6,11.374098224700875
ENSG00000188042.8,ARL4C,-1.13695890962286,9.126515867308804,-11.191115172838519,3.6343539090384466e-9,2.0653225630863484e-6,11.255879244807659
ENSG00000152518.8,ZFP36L2,-1.3873958877573964,8.420154963961828,-11.319965574395747,4.460685924410536e-9,2.4014924379365984e-6,11.126057692037671
ENSG00000211751.9,TRBC1,-1.7918108113702493,6.750783126770563,-11.148339220084365,5.556311642885796e-9,2.8417755897539405e-6,10.987820587917799
ENSG00000166750.10,SLFN5,-0.9777279084263465,9.938290633099596,-10.659474821309756,7.440905372281203e-9,3.624429573955449e-6,10.474272753272814
ENSG00000070214.17,SLC44A1,1.800522927349625,5.911998582582742,10.519055079877615,9.032274650181487e-9,4.1995971543957465e-6,10.488361923767645
ENSG00000227507.3,LTB,-2.1099304145995545,11.057858091080416,-17.285430654667255,9.981039527961364e-9,4.43895884050073e-6,10.770041242831288
ENSG00000170989.10,S1PR1,-1.427694292001508,6.943236038425008,-10.376765170095956,1.1014329310523424e-8,4.694398938222671e-6,10.264544842694495
ENSG00000204287.14,HLA-DRA,1.2644759812334543,7.56406799889057,10.344650763400159,1.1521968671498386e-8,4.7143287016302795e-6,10.180133661290762
ENSG00000111913.20,RIPOR2,-1.117448654076178,8.85862539442469,-10.30233436586243,1.222872542564022e-8,4.811062783802839e-6,10.030483360721554
ENSG00000154451.15,GBP5,-1.132263957624764,8.642521964622842,-10.065823075258264,1.7114122793707577e-8,6.4837171132161035e-6,9.701044768150783
ENSG00000189367.15,KIAA0408,6.730590548654783,1.213566592837415,9.990304129461263,1.907640894640519e-8,6.9690209683135245e-6,6.268263585102743
ENSG00000133574.10,GIMAP4,-1.1792267461215895,7.943935274721763,-9.778691633232947,2.5941350128165048e-8,9.150140360724148e-6,9.325992089911313
ENSG00000069493.15,CLEC2D,-0.9840242576425925,9.032214090486438,-9.64203704156443,3.171860763038927e-8,1.0814987915041726e-5,9.041040151720884
ENSG00000211772.11,TRBC2,-1.205889756234847,8.33485395177567,-9.730306491527895,3.8465573125645044e-8,1.2692398306523326e-5,8.932320425890607
ENSG00000114942.15,EEF1B2,-0.8362946386099226,10.230185218515922,-9.303697568202018,5.2645783274966966e-8,1.672687704228286e-5,8.440647742571738
ENSG00000135245.10,HILPDA,1.7877647947296729,5.467469397862232,9.287413011123448,5.3962942848307195e-8,1.672687704228286e-5,8.737767813085815
ENSG00000112079.9,STK38,-1.2927023317249597,6.818932722386149,-9.227897827529064,5.907852651112856e-8,1.777394846124512e-5,8.580381285669024
ENSG00000070081.18,NUCB2,1.1943886028991273,8.155460494082309,9.350171189420742,6.987811287782573e-8,2.0422377617922268e-5,8.341614325532731
ENSG00000166503.10,HDGFL3,1.441791302532855,6.173369191463784,9.040945140906306,7.872976443195378e-8,2.237018778817931e-5,8.341246401966021
ENSG00000265972.6,TXNIP,-0.9505198416847458,9.987217682230852,-9.204721041895883,8.160908197283426e-8,2.2561602689192477e-5,8.041663491669842
ENSG00000018189.13,RUFY3,1.856269046400905,5.250311181471065,8.949861275051052,9.068543320554413e-8,2.4129495123230886e-5,8.225229846596667
ENSG00000198727.2,CYTB,-0.7466941041719627,11.757764448762295,-8.940636189757818,9.199827058422179e-8,2.4129495123230886e-5,7.768531578789931
ENSG00000196329.12,GIMAP5,-1.4607480798204182,5.987293837021156,-8.872195765877121,1.023825835361699e-7,2.572250306735548e-5,8.090202457228472
ENSG00000134954.14,ETS1,-1.158848295330111,8.984227246701321,-9.600759435749206,1.031012440865749e-7,2.572250306735548e-5,7.970389814686541
